




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6217)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
keratinocyte differentiation (GO:0030216)	270	24	81.50	-	.29	1.28E-11	1.29E-09
defense response to Gram-positive bacterium (GO:0050830)	104	9	31.39	-	.29	2.90E-05	1.23E-03
adaptive immune response (GO:0002250)	658	55	198.63	-	.28	2.52E-28	9.95E-26
negative regulation of tumor necrosis factor production (GO:0032720)	60	5	18.11	-	.28	1.74E-03	4.62E-02
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	62	5	18.72	-	.27	1.21E-03	3.41E-02
killing of cells of other organism (GO:0031640)	87	7	26.26	-	.27	1.12E-04	4.18E-03
regulation of complement activation (GO:0030449)	118	9	35.62	-	.25	2.35E-06	1.21E-04
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	5	20.23	-	.25	4.00E-04	1.30E-02
antibacterial humoral response (GO:0019731)	57	4	17.21	-	.23	1.15E-03	3.25E-02
detection of stimulus (GO:0051606)	721	50	217.65	-	.23	2.87E-36	1.74E-33
peptide cross-linking (GO:0018149)	102	7	30.79	-	.23	5.89E-06	2.80E-04
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	7	30.79	-	.23	5.89E-06	2.79E-04
defense response to Gram-negative bacterium (GO:0050829)	91	6	27.47	-	.22	1.05E-05	4.80E-04
defense response to bacterium (GO:0042742)	350	23	105.65	-	.22	8.60E-19	1.77E-16
antimicrobial humoral response (GO:0019730)	154	10	46.49	-	.22	6.98E-09	5.26E-07
B cell receptor signaling pathway (GO:0050853)	129	8	38.94	-	.21	6.90E-08	4.56E-06
cornification (GO:0070268)	113	7	34.11	-	.21	5.94E-07	3.42E-05
phagocytosis, engulfment (GO:0006911)	132	8	39.85	-	.20	3.21E-08	2.17E-06
humoral immune response (GO:0006959)	386	23	116.52	-	.20	3.83E-22	1.08E-19
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	7	49.81	-	.14	5.25E-12	5.42E-10
lymphocyte chemotaxis (GO:0048247)	49	2	14.79	-	.14	3.44E-04	1.14E-02
keratinization (GO:0031424)	227	9	68.52	-	.13	1.67E-16	2.81E-14
defense response to fungus (GO:0050832)	51	2	15.40	-	.13	2.28E-04	7.95E-03
complement activation, classical pathway (GO:0006958)	161	6	48.60	-	.12	2.26E-12	2.48E-10
complement activation (GO:0006956)	177	6	53.43	-	.11	8.12E-14	1.02E-11
detection of stimulus involved in sensory perception (GO:0050906)	557	16	168.14	-	.10	2.99E-44	2.25E-41
phagocytosis, recognition (GO:0006910)	106	3	32.00	-	.09	3.66E-09	2.89E-07
icosanoid transport (GO:0071715)	36	1	10.87	-	.09	1.31E-03	3.63E-02
sensory perception of chemical stimulus (GO:0007606)	543	15	163.92	-	.09	8.68E-44	5.97E-41
sensory perception of bitter taste (GO:0050913)	41	1	12.38	-	.08	3.45E-04	1.14E-02
monocyte chemotaxis (GO:0002548)	42	1	12.68	-	.08	3.71E-04	1.22E-02
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	12.68	-	.08	3.71E-04	1.22E-02
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	42	1	12.68	-	.08	3.71E-04	1.22E-02
detection of chemical stimulus (GO:0009593)	522	7	157.58	-	.04	4.47E-50	5.05E-47
sensory perception of smell (GO:0007608)	468	6	141.27	-	.04	3.62E-45	3.36E-42
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	3	146.71	-	.02	2.37E-51	2.88E-48
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	133.12	-	 < 0.01	1.97E-49	2.07E-46
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	10.87	-	 < 0.01	1.02E-04	3.85E-03
detection of biotic stimulus (GO:0009595)	38	0	11.47	-	 < 0.01	6.33E-05	2.50E-03
opsonization (GO:0008228)	72	0	21.73	-	 < 0.01	8.56E-09	6.30E-07
plasma lipoprotein particle remodeling (GO:0034369)	32	0	9.66	-	 < 0.01	4.44E-04	1.42E-02
protein-lipid complex remodeling (GO:0034368)	32	0	9.66	-	 < 0.01	4.44E-04	1.42E-02
